bond_dim_1,bond_dim_2,bond_dim_3,bond_dim_4,bond_dim_5,bond_dim_6,bond_dim_7,bond_dim_8,bond_dim_9,bond_dim_10,bond_dim_11,bond_dim_12,bond_dim_13,bond_dim_14,bond_dim_15,bond_dim_16,bond_dim_17,bond_dim_18,bond_dim_19
2,4,6,9,9,6,4,4,4,4,4,4,4,4,3,3,2,2,2
2,4,6,9,9,6,5,4,4,4,4,4,4,4,3,3,2,2,2
2,4,6,10,9,6,5,4,4,4,4,4,4,4,3,3,2,2,2
2,4,7,10,9,7,5,4,4,4,4,4,4,4,4,4,2,2,2
2,4,7,10,10,7,6,4,4,4,4,4,4,4,4,4,2,2,2
2,4,7,10,10,7,6,4,5,4,4,4,4,4,4,4,2,2,2
2,4,8,10,10,8,6,4,5,4,4,4,4,4,4,4,2,2,2
2,4,8,10,10,8,6,5,5,4,4,4,4,4,4,4,2,3,2
2,4,8,11,10,8,6,5,5,4,4,4,4,4,4,4,2,3,2
2,4,8,11,10,8,6,5,5,4,4,4,4,4,4,4,2,3,2
2,4,8,12,10,8,6,5,5,4,4,4,4,4,4,4,2,3,2
2,4,8,12,10,8,6,5,5,4,4,4,4,4,4,4,2,3,2
2,4,8,12,11,8,6,6,5,4,4,4,4,4,4,4,2,3,2
2,4,8,12,11,8,6,6,5,4,4,4,4,4,4,4,2,3,2
2,4,8,12,11,8,6,6,5,4,4,4,4,4,4,4,2,3,2
2,4,8,12,11,8,6,6,5,4,4,4,4,4,4,4,2,3,2
2,4,8,12,11,8,6,6,5,4,4,4,4,4,4,4,2,3,2
2,4,8,12,11,8,6,5,5,4,4,4,4,4,4,4,2,3,2
2,4,8,12,10,8,6,5,5,4,4,4,4,4,4,4,2,3,2
2,4,8,12,10,8,6,5,5,4,4,4,4,4,4,4,2,3,2
2,4,8,12,10,8,6,5,5,4,4,4,4,4,4,4,2,3,2
2,4,8,12,10,8,6,5,5,4,4,4,4,4,4,4,2,3,2
2,4,8,12,10,8,6,5,5,4,4,4,4,4,4,4,2,3,2
2,4,8,13,11,8,6,5,5,4,4,4,4,4,4,4,2,2,2
2,4,8,13,11,8,6,5,5,4,5,4,4,4,4,4,2,2,2
2,4,8,12,11,8,6,6,6,4,4,4,4,4,4,4,2,2,2
2,4,8,12,12,9,7,6,6,4,5,4,4,4,4,4,2,2,2
2,4,8,12,12,9,7,6,6,4,5,4,4,4,4,4,2,2,2
2,4,8,13,12,9,7,6,6,4,5,4,4,4,4,4,2,2,2
2,4,8,13,12,9,7,6,6,4,5,4,4,4,4,4,2,2,2
2,4,8,13,12,9,7,6,6,4,5,4,4,4,4,4,2,2,2
2,4,8,13,12,9,7,6,6,4,5,4,4,4,4,4,2,2,2
2,4,8,13,12,10,8,6,6,4,5,4,5,4,4,4,2,2,2
2,4,8,14,13,10,8,6,6,4,5,4,5,4,4,4,2,2,2
2,4,8,14,13,10,8,6,6,4,5,4,5,4,4,4,2,2,2
2,4,8,13,13,10,8,6,6,5,5,4,5,4,4,4,2,2,2
