step,time,charge,ef_energy,ef_energy_mode1,kinetic_energy,total_energy,momentum,tt_norm,bond_dimension,elapsed_time
1,0.1,2.053443477285,5.385255e-6,5.385118e-6,0.041167673604,0.041173058858999995,-7.245594e-6,3510.568228918081,11,0.534487009048
2,0.2,2.053300466861,5.269546e-6,5.269486e-6,0.041166797386,0.041172066932,-7.051671e-6,3510.610234534826,12,1.931756019592
3,0.3,2.053427219423,4.972572e-6,4.972509e-6,0.041164127612,0.041169100184,-3.401146e-6,3510.442782588847,12,2.997256040573
4,0.4,2.053344868674,4.581665e-6,4.581081e-6,0.041163792621,0.041168374286,1.293501e-6,3510.399103199513,13,4.267452001572
5,0.5,2.053328589944,4.098044e-6,4.095628e-6,0.041164216189,0.041168314233,6.071728e-6,3510.3955507572095,14,5.644931077957
6,0.6,2.053318374637,3.552156e-6,3.549399e-6,0.041165019079,0.041168571235,6.661884e-6,3510.408583259186,16,7.554579019547
7,0.7,2.053322160567,2.947217e-6,2.94479e-6,0.041165681325,0.041168628542,1.0142653e-5,3510.4120815995393,17,9.748049020767
8,0.8,2.053322398666,2.337951e-6,2.33551e-6,0.041166563372,0.041168901322999996,1.3716129e-5,3510.417272685796,18,11.425458192825
9,0.9,2.05334407457,1.764195e-6,1.761956e-6,0.041167450912,0.041169215106999994,1.5401114e-5,3510.3964681644557,18,13.137280225754
10,1.0,2.053324620608,1.2414e-6,1.239538e-6,0.041168138648,0.041169380048,1.7117162e-5,3510.3948645499936,19,14.613136053085
11,1.1,2.053331294716,7.9348e-7,7.92461e-7,0.041168681637,0.041169475117,1.6904104e-5,3510.3960855576374,19,16.577085018158
12,1.2,2.053327147835,4.40651e-7,4.40089e-7,0.041169251984,0.041169692635000005,1.8332531e-5,3510.398679875782,19,18.272066116333
13,1.3,2.053329396894,1.91464e-7,1.91147e-7,0.041169657909,0.041169849373,1.8737702e-5,3510.4015295226686,19,20.134126186371
14,1.4,2.053314439298,4.687e-8,4.6494e-8,0.041170238911,0.041170285781,1.8354482e-5,3510.424233911499,19,21.481555223465
15,1.5,2.053307274879,1.335e-9,4.67e-10,0.041170523595,0.04117052493,1.7039409e-5,3510.4526120497308,19,22.863022089005
16,1.6,2.053305197399,3.963e-8,3.8153e-8,0.041170907849,0.041170947479,1.6409727e-5,3510.4922127997934,19,24.185453176498
17,1.7,2.053295588975,1.42656e-7,1.40446e-7,0.041171298328,0.041171440983999996,1.6451845e-5,3510.5386110149334,19,25.702356100082
18,1.8,2.053309998134,2.87622e-7,2.84561e-7,0.04117154972,0.041171837342,1.54707e-5,3510.5602729448224,19,26.923542022705
19,1.9,2.053302423511,4.45826e-7,4.41864e-7,0.041171865783,0.041172311609,1.5759652e-5,3510.5959964251715,19,28.587049007416
20,2.0,2.053297266391,6.04067e-7,5.98962e-7,0.04117206893,0.041172672997,1.6256397e-5,3510.6387545633643,19,30.154033184052
21,2.1,2.053302998602,7.32004e-7,7.25633e-7,0.041172323601,0.041173055604999995,1.706987e-5,3510.690736627545,18,31.990933179855
22,2.2,2.053305879339,8.13631e-7,8.0495e-7,0.041172168883,0.041172982514,1.7591707e-5,3510.7213560273185,18,33.204235076904
23,2.3,2.053310308529,8.3641e-7,8.2689e-7,0.041172591579,0.041173427989000005,1.7572723e-5,3510.7645776288773,18,34.392081022263
24,2.4,2.053314202056,8.01081e-7,7.91618e-7,0.041172877267,0.041173678348,1.9272039e-5,3510.7955245736534,18,35.715345144272
25,2.5,2.053320605311,7.08272e-7,6.99735e-7,0.041172961709,0.041173669981,1.8264954e-5,3510.812893479684,18,36.969763040543
26,2.6,2.053307168442,5.70224e-7,5.63389e-7,0.041173372803,0.041173943027,1.7387263e-5,3510.8480046041404,18,38.681995153427
27,2.7,2.053306607559,4.06299e-7,4.01269e-7,0.041173786927,0.041174193226,1.6552657e-5,3510.8738137762807,18,39.984625101089
28,2.8,2.053311243453,2.41779e-7,2.38528e-7,0.041174019189,0.041174260968000004,1.5749989e-5,3510.902441438504,18,41.330078125
29,2.9,2.053309113631,1.0255e-7,1.00526e-7,0.041174198156,0.041174300706,1.4761762e-5,3510.924623933073,18,42.79071521759
30,3.0,2.053309264234,1.6813e-8,1.5217e-8,0.041174331092,0.041174347905,1.4281977e-5,3510.9491738374572,18,44.652320146561
31,3.1,2.053307453229,1.1455e-8,9.526e-9,0.04117421009,0.041174221545,1.1657838e-5,3510.974786974904,18,46.8217420578
32,3.2,2.053308100766,1.1205e-7,1.09234e-7,0.041174098076,0.041174210126,9.950532e-6,3511.0042090428096,18,48.919691085815
33,3.3,2.053297983462,3.36857e-7,3.3318e-7,0.041173998303,0.041174335160000006,9.357471e-6,3511.0497426788843,18,50.168866157532
34,3.4,2.053299051887,6.97344e-7,6.93167e-7,0.041173804266,0.041174501610000004,8.60694e-6,3511.097227941587,18,51.654657125473
35,3.5,2.053318796476,1.199417e-6,1.195204e-6,0.04117257622,0.041173775637,7.100855e-6,3511.1044734982,18,53.08172416687
36,3.6,2.053274172124,1.839322e-6,1.83574e-6,0.041172299983,0.041174139305,7.658207e-6,3511.1933650680344,17,54.382988214493
37,3.7,2.053311716179,2.609117e-6,2.606731e-6,0.041171224983,0.0411738341,7.521735e-6,3511.2312563160162,17,55.810021162033
38,3.8,2.053305262368,3.522882e-6,3.521616e-6,0.0411700108,0.041173533681999996,7.14275e-6,3511.2753400388547,17,57.660412073135
39,3.9,2.053300731168,4.494416e-6,4.493378e-6,0.041169279499,0.041173773914999996,6.136897e-6,3511.3312780121405,17,59.030866146088
40,4.0,2.053304651057,5.531208e-6,5.529385e-6,0.0411685802,0.041174111408,8.40482e-6,3511.367819090686,18,60.606624126434
41,4.1,2.053314299231,6.549611e-6,6.545553e-6,0.041167630058,0.041174179669,9.980382e-6,3511.369286468729,18,62.815453052521
42,4.2,2.053322950228,7.607639e-6,7.600363e-6,0.04116660892,0.041174216559,9.461941e-6,3511.3602321254025,19,64.757934093475
43,4.3,2.05330544623,8.617642e-6,8.607613e-6,0.04116625163,0.041174869271999995,8.778394e-6,3511.3953894653773,19,66.286641120911
44,4.4,2.053325843938,9.479588e-6,9.465517e-6,0.041165307371,0.041174786959,9.592857e-6,3511.387874828034,19,68.603645086288
45,4.5,2.053343688217,1.0238163e-5,1.0221294e-5,0.041164619607,0.041174857769999997,7.852731e-6,3511.3539361569124,19,70.205060005188
46,4.6,2.053344161208,1.0819598e-5,1.0799713e-5,0.041163883784,0.041174703382,5.356375e-6,3511.3261698344445,20,71.637968063354
47,4.7,2.05334548287,1.1186783e-5,1.1164452e-5,0.04116375621,0.041174942993,3.305819e-6,3511.281807957755,20,73.247138023376
48,4.8,2.053329909949,1.1348215e-5,1.1322826e-5,0.041164043523,0.041175391738,1.910941e-6,3511.274075444251,20,75.11055803299
49,4.9,2.053345009035,1.1299209e-5,1.1274117e-5,0.041164275505,0.041175574714,1.018272e-6,3511.2367414704877,20,76.72595500946
50,5.0,2.053351533478,1.1089613e-5,1.1063897e-5,0.04116443526,0.041175524873,1.824666e-6,3511.1851836807405,20,78.805168151855
51,5.1,2.053349718699,1.070293e-5,1.0677322e-5,0.041164970662,0.041175673592,1.6067e-7,3511.1490416623938,20,81.261555194855
52,5.2,2.053366268517,1.0162092e-5,1.0137348e-5,0.041165853829,0.041176015921,-4.77027e-7,3511.100322880845,20,82.634236097336
53,5.3,2.053373213179,9.501534e-6,9.478358e-6,0.04116666657,0.041176168104,-2.305192e-6,3511.04376360938,20,84.195597171783
54,5.4,2.053345684865,8.761178e-6,8.740147e-6,0.04116801353,0.041176774708,-3.422441e-6,3511.021140568443,21,85.561786174774
55,5.5,2.0533173905,7.997605e-6,7.978708e-6,0.04117028618,0.041178283785,-2.243193e-6,3511.0576617561305,22,87.032985210419
56,5.6,2.053405983188,7.197839e-6,7.181325e-6,0.041170850832,0.041178048671,-2.258728e-6,3510.940374578456,22,89.224840164185
57,5.7,2.05340809478,6.401029e-6,6.387065e-6,0.041170811743,0.041177212772,-2.71657e-6,3510.81927487916,23,90.89041519165
58,5.8,2.053253178486,5.641945e-6,5.630182e-6,0.041173484374,0.041179126319,-3.476741e-6,3510.975981170425,25,92.688019990921
59,5.9,2.053348801072,4.925646e-6,4.915982e-6,0.041173746387,0.041178672033,-5.157976e-6,3510.9648471380283,25,94.473233222961
60,6.0,2.053366924727,4.297349e-6,4.288997e-6,0.041173835136,0.041178132485000005,-5.803411e-6,3510.923139976266,25,96.062601089478
61,6.1,2.053324558385,3.762989e-6,3.755315e-6,0.0411746852,0.041178448188999996,-6.406871e-6,3510.9495572558158,26,98.85829615593
