bond_dim_1,bond_dim_2,bond_dim_3,bond_dim_4,bond_dim_5,bond_dim_6,bond_dim_7,bond_dim_8,bond_dim_9,bond_dim_10,bond_dim_11,bond_dim_12,bond_dim_13,bond_dim_14,bond_dim_15,bond_dim_16,bond_dim_17,bond_dim_18,bond_dim_19
2,4,6,11,11,14,14,14,14,9,10,6,6,4,3,3,2,2,2
2,4,8,14,12,16,15,15,15,10,10,6,6,4,5,4,2,2,2
2,4,8,14,14,19,16,16,15,10,10,6,6,4,4,4,3,3,2
2,4,8,15,16,21,18,18,16,11,10,6,6,4,5,4,4,4,2
2,4,8,15,17,21,19,19,17,12,10,6,6,4,5,4,4,4,2
2,4,8,15,18,21,19,19,16,11,10,6,6,4,4,4,4,4,2
2,4,8,15,18,21,20,20,17,12,10,6,6,4,5,4,4,4,2
2,4,8,15,18,21,21,20,17,12,10,6,6,4,4,4,4,4,2
2,4,8,15,18,21,21,21,17,12,10,6,6,4,4,4,4,4,2
2,4,8,16,19,21,21,21,18,12,10,6,6,4,4,4,4,4,2
2,4,8,16,19,21,21,21,18,12,10,6,6,4,5,4,4,4,2
2,4,8,16,19,21,21,21,18,12,10,6,6,4,5,4,4,4,2
2,4,8,16,19,22,22,21,18,12,10,6,6,4,5,4,4,4,2
2,4,8,16,19,22,22,21,18,12,10,6,6,4,5,4,4,4,2
2,4,8,16,19,22,22,21,18,12,10,6,6,4,5,4,4,4,2
2,4,8,16,19,22,22,21,18,12,10,6,6,4,5,4,4,4,2
2,4,8,16,19,22,22,21,18,12,10,6,6,4,4,4,4,4,2
2,4,8,16,19,22,21,20,17,11,9,6,6,4,4,4,4,4,2
2,4,8,16,19,22,21,20,17,12,10,6,6,4,4,4,4,4,2
2,4,8,16,19,22,21,20,17,11,9,5,6,4,4,4,4,4,2
2,4,8,15,18,21,21,20,16,11,9,5,6,4,4,4,4,4,2
2,4,8,15,18,21,21,20,16,11,9,5,5,4,4,4,4,4,2
2,4,8,15,18,21,21,20,16,11,9,5,6,4,4,4,4,4,2
2,4,8,16,19,21,21,20,16,11,9,5,6,4,4,4,4,4,2
2,4,8,16,19,21,21,20,17,12,10,6,6,4,5,4,4,4,2
2,4,8,15,18,21,21,20,17,12,10,6,6,4,5,4,4,4,2
2,4,8,15,18,21,21,20,17,12,10,6,6,4,5,4,4,4,2
2,4,8,15,18,21,21,20,17,12,10,6,6,4,5,4,4,4,2
2,4,8,15,18,21,21,20,17,12,10,6,6,4,5,4,4,4,2
2,4,8,15,18,21,21,20,17,12,10,6,6,4,5,4,4,4,2
2,4,8,16,19,21,21,20,17,12,10,6,6,4,5,4,4,4,2
2,4,8,16,19,21,21,20,17,12,10,6,6,4,5,4,4,4,2
2,4,8,16,19,21,21,20,17,12,10,6,6,4,5,4,4,4,2
2,4,8,15,18,21,21,20,16,11,9,6,6,4,5,4,4,4,2
2,4,8,15,18,21,20,19,16,11,9,6,6,4,4,4,4,4,2
2,4,8,15,18,21,20,19,16,11,9,6,6,4,4,4,4,4,2
