bond_dim_1,bond_dim_2,bond_dim_3,bond_dim_4,bond_dim_5,bond_dim_6,bond_dim_7,bond_dim_8,bond_dim_9,bond_dim_10,bond_dim_11,bond_dim_12,bond_dim_13,bond_dim_14,bond_dim_15,bond_dim_16,bond_dim_17,bond_dim_18,bond_dim_19
2,4,6,11,11,13,13,10,10,6,6,4,4,3,2,2,2,2,2
2,4,6,12,12,14,14,12,11,8,7,5,5,4,4,3,2,2,2
2,4,8,14,13,17,14,13,11,8,8,5,5,4,5,4,3,3,2
2,4,8,14,14,18,15,14,11,8,7,4,5,4,4,4,3,3,2
2,4,8,14,15,19,16,15,12,8,7,4,4,4,4,4,4,4,2
2,4,8,15,16,20,17,16,14,9,8,4,5,4,4,4,4,4,2
2,4,8,15,17,20,17,16,13,9,8,4,5,4,4,4,4,4,2
2,4,8,15,18,21,18,16,14,9,8,5,5,4,5,4,4,4,2
2,4,8,15,18,21,19,16,14,9,8,4,5,4,5,4,5,4,2
2,4,8,15,18,21,19,17,15,10,8,5,6,4,5,4,5,4,2
2,4,8,15,18,21,20,17,14,9,8,4,5,4,4,4,4,4,2
2,4,8,15,18,21,20,17,15,9,8,4,5,4,4,4,4,4,2
2,4,8,15,18,21,20,17,15,10,8,4,5,4,4,4,4,4,2
2,4,8,15,18,21,20,17,14,9,8,4,5,4,4,4,4,4,2
2,4,8,15,18,21,19,17,15,9,8,4,5,4,4,4,4,4,2
2,4,8,15,18,21,19,17,15,10,8,4,5,4,4,4,4,4,2
2,4,8,15,18,21,19,17,14,9,8,4,5,4,4,4,4,4,2
2,4,8,15,18,21,20,17,14,9,8,4,5,4,4,4,4,4,2
2,4,8,15,18,21,20,17,15,9,8,4,5,4,4,4,4,4,2
2,4,8,15,18,21,19,17,14,9,8,4,5,4,4,4,4,4,2
2,4,8,15,18,21,18,16,14,9,8,4,5,4,4,4,4,4,2
2,4,8,15,18,21,18,16,15,9,8,4,5,4,4,4,4,4,2
